source,target,value
COE 792,WST 792,1.0000001
COE 792,RDG 792,1.0000001
COE 792,NUR 792,1.0000001
COE 792,EDP 792,1.0000001
COM 415,TGM 460,0.82255673
COM 415,IEE 511,0.80040586
COM 415,BUS 436,0.79323876
COM 415,OGL 421,0.7678771
COM 415,SGS 503,0.76272476
COM 415,IEE 454,0.76132226
COM 483,SPE 569,0.8789999
COM 483,GPE 94,0.8580568999999999
COM 483,ART 501,0.85589683
COM 483,SPE 520,0.853305
COM 483,BIO 289,0.8527091
COM 483,BIO 530,0.8525915000000001
COM 594,ARP 594,0.9999998999999999
COM 594,SPE 594,0.9999998999999999
COM 594,HCD 594,0.9999998999999999
COM 594,EDT 594,0.9999998999999999
COM 594,BIO 594,0.9999998999999999
COM 594,ASM 594,0.9999998999999999
COM 599,MET 599,1.0
COM 599,CRJ 599,1.0
COM 599,MCB 599,1.0
COM 599,SWG 599,1.0
COM 599,MTC 599,1.0
COM 599,CRD 599,1.0
COM 604,POS 503,0.8767377000000001
COM 604,COM 607,0.86972106
COM 604,PSY 420,0.86022854
COM 604,COM 609,0.85472786
COM 604,SWG 720,0.850922
COM 604,POS 606,0.84716845
COM 700,DAH 500,0.9999998999999999
COM 700,GPH 500,0.99999976
COM 700,EEE 700,0.99999976
COM 700,PUP 500,0.99999976
COM 700,CON 700,0.99999976
COM 700,MGT 700,0.99999976
CON 241,PUP 573,0.8414226
CON 241,ASM 338,0.83835125
CON 241,CON 561,0.81528616
CON 241,PUP 452,0.81322515
CON 241,PUP 548,0.8109
CON 241,PUP 420,0.8107001
CON 680,NUR 680,0.99999976
CON 680,EDP 680,0.99999976
CON 680,EDA 780,0.99999976
CON 680,FRE 580,0.99999976
CON 680,EDA 680,0.99999976
CON 680,EDA 580,0.99999976
CPI 101,GIS 531,0.9037194
CPI 101,IEE 305,0.902587
CPI 101,MAT 429,0.9008379999999999
CPI 101,IFT 433,0.8972518
CPI 101,IFT 200,0.89679384
CPI 101,IEE 506,0.8962309000000002
CPP 484,SBS 484,1.0000002000000001
CPP 484,APL 684,1.0000002000000001
CPP 484,APL 584,1.0000002000000001
CPP 484,GIS 484,1.0000002000000001
CPP 484,ACC 584,1.0000002000000001
CPP 484,MKT 484,1.0000002000000001
CRJ 230,CRJ 315,0.8478924999999999
CRJ 230,CRJ 516,0.8150449000000001
CRJ 230,CRJ 512,0.8150449000000001
CRJ 230,CRJ 527,0.79405016
CRJ 230,CRJ 464,0.7843707
CRJ 230,CRJ 501,0.7632350999999999
CRJ 284,CRJ 505,0.74041474
CRJ 284,CRJ 605,0.725422
CRJ 284,CRJ 450,0.7216461999999999
CRJ 284,CRJ 300,0.7127791
CRJ 284,PSY 546,0.7093559
CRJ 284,CRJ 602,0.70738137
CRJ 409,CRJ 527,0.7742409
CRJ 409,CRJ 607,0.76764065
CRJ 409,CRJ 450,0.7583829000000001
CRJ 409,CRJ 602,0.7323805
CRJ 409,CSM 463,0.71845335
CRJ 409,SWU 411,0.71337014
CRJ 595,LDE 695,0.9999998999999999
CRJ 595,ARE 595,0.9999998999999999
CRJ 595,BUS 595,0.9999998999999999
CRJ 595,PLA 595,0.9999998999999999
CRJ 595,SLC 595,0.9999998999999999
CRJ 595,JPN 595,0.9999998999999999
CSE 335,TWC 444,0.8651066999999999
CSE 335,TWC 544,0.8651066999999999
CSE 335,TWC 445,0.8549197000000001
CSE 335,TWC 545,0.8549197000000001
CSE 335,SER 516,0.85433686
CSE 335,CSE 564,0.8533405999999999
CSE 486,SER 416,0.9332106
CSE 486,TMC 480,0.86516476
CSE 486,ERM 480,0.86516476
CSE 486,SES 405,0.8540504999999999
CSE 486,HCR 566,0.85014355
CSE 486,MSE 100,0.8384742000000001
CSM 483,CSM 485,0.7692547
CSM 483,SLB 512,0.73913175
CSM 483,SLB 513,0.7252499
CSM 483,SLB 515,0.7211721
CSM 483,SLB 517,0.7188631999999999
CSM 483,MCO 526,0.693766
DBA 721,TWC 506,0.9070226
DBA 721,DBA 722,0.9050701999999999
DBA 721,EDS 401,0.8972011999999999
DBA 721,BIO 530,0.89602554
DBA 721,HPS 620,0.8891555
DBA 721,BIO 620,0.8891555
DCE 171,DCE 670,0.91351175
DCE 171,DCE 370,0.90916574
DCE 171,DCE 360,0.90031743
DCE 171,DCE 671,0.88597965
DCE 171,DCE 554,0.8855115
DCE 171,DCE 570,0.87815785
DCE 461,DCE 671,0.8349552
DCE 461,FSH 497,0.7951366999999999
DCE 461,DCE 670,0.7935734999999999
DCE 461,COM 191,0.78870964
DCE 461,AFR 191,0.78870964
DCE 461,GER 191,0.78870964
DCE 543,MUP 319,0.69003916
DCE 543,THP 524,0.68195343
DCE 543,MUP 509,0.6673366999999999
DCE 543,ART 530,0.66637814
DCE 543,MTC 496,0.66094065
DCE 543,MUP 510,0.64767385
DCI 690,DSC 590,0.99999976
DCI 690,APL 790,0.99999976
DCI 690,ECD 590,0.99999976
DCI 690,MIC 790,0.99999976
DCI 690,HSE 590,0.99999976
DCI 690,FMS 590,0.99999976
ECD 396,ECD 577,1.0
ECD 396,ECD 578,0.9614345999999999
ECD 396,ECD 478,0.9614345999999999
ECD 396,SPE 578,0.9435481
ECD 396,SPE 478,0.9162474
ECD 396,SED 478,0.9155359000000001
ECD 406,ECD 567,0.89318657
ECD 406,ECD 576,0.8913668
ECD 406,ECD 541,0.8824376
ECD 406,SED 397,0.8793476999999998
ECD 406,SED 512,0.8758761999999999
ECD 406,SPE 423,0.8715385
ECN 438,ECN 503,0.8878995000000001
ECN 438,SGS 324,0.86978126
ECN 438,ECN 715,0.8632940999999998
ECN 438,ECN 717,0.8510255999999999
ECN 438,MGT 302,0.85015106
ECN 438,ECN 736,0.84843516
EDA 593,MET 593,1.0
EDA 593,SWG 693,0.9999998999999999
EDA 593,SED 593,0.9999998999999999
EDA 593,OMT 593,0.9999998999999999
EDA 593,LSE 793,0.9999998999999999
EDA 593,CDH 593,0.9999998999999999
EDA 598,SWG 598,1.0000001
EDA 598,MTC 598,1.0000001
EDA 598,CEN 598,1.0000001
EDA 598,SOS 598,1.0000001
EDA 598,EDP 598,1.0000001
EDA 598,MLS 598,1.0000001
EDA 700,CDE 500,0.99999976
EDA 700,SED 500,0.99999976
EDA 700,SOC 700,0.99999976
EDA 700,SWG 700,0.99999976
EDA 700,SWG 600,0.99999976
EDA 700,ARS 700,0.99999976
EDA 702,CRD 235,0.8499488000000002
EDA 702,SPE 323,0.8428353999999999
EDA 702,EDP 567,0.8362973
EDA 702,EDP 541,0.8251139000000001
EDA 702,EDA 772,0.8244155000000001
EDA 702,SWU 306,0.81189966
EDS 494,RUS 294,1.0
EDS 494,FRE 294,1.0
EDS 494,ART 494,1.0
EDS 494,FRE 194,1.0
EDS 494,RUS 194,1.0
EDS 494,FMP 394,1.0
EDT 590,JPN 590,0.99999976
EDT 590,RUS 590,0.99999976
EDT 590,SLC 790,0.99999976
EDT 590,CEN 590,0.99999976
EDT 590,FMP 590,0.99999976
EDT 590,ESS 590,0.99999976
EDT 680,MTC 780,0.99999976
EDT 680,GPH 680,0.99999976
EDT 680,MLS 580,0.99999976
EDT 680,PSY 580,0.99999976
EDT 680,PLA 680,0.99999976
EDT 680,CEN 580,0.99999976
EDT 783,PUP 583,1.0
EDT 783,PLA 583,1.0
EDT 783,BIO 683,1.0
EDT 783,MUP 783,1.0
EDT 783,MUP 683,1.0
EDT 783,BIO 583,1.0
EED 790,HPS 790,0.99999976
EED 790,EDA 790,0.99999976
EED 790,SED 690,0.99999976
EED 790,ENE 690,0.99999976
EED 790,EEE 690,0.99999976
EED 790,SED 590,0.99999976
EEE 304,EEE 307,0.9127301999999999
EEE 304,EEE 505,0.9029412
EEE 304,EEE 552,0.89025146
EEE 304,EEE 404,0.87938195
EEE 304,EEE 335,0.87899965
EEE 304,EEE 511,0.8602450999999999
EEE 566,EEE 631,0.9110652
EEE 566,EEE 576,0.8131517
EEE 566,EEE 643,0.7938236
EEE 566,EEE 625,0.76010776
EEE 566,EEE 589,0.75466573
EEE 566,EEE 586,0.7542244
EEE 592,ARS 692,0.99999994
EEE 592,THP 592,0.99999994
EEE 592,FMP 592,0.99999994
EEE 592,MGT 692,0.99999994
EEE 592,ARS 592,0.99999994
EEE 592,ARE 592,0.99999994
EEE 607,MET 443,0.7884134
EEE 607,MET 514,0.7884134
EEE 607,MTC 436,0.7780589
EEE 607,THP 555,0.7668891
EEE 607,MCO 720,0.76569605
EEE 607,SLC 557,0.7584810000000001
EGR 402,SER 402,0.98292315
EGR 402,IFT 402,0.98292315
EGR 402,IFT 401,0.9782867000000001
EGR 402,SER 401,0.9782867000000001
EGR 402,EGR 570,0.9055821
EGR 402,OMT 445,0.85363626
EMS 514,SOS 558,0.8983679
EMS 514,SOS 511,0.89506197
EMS 514,SOS 300,0.89429396
EMS 514,SOS 230,0.87013495
EMS 514,SOS 330,0.8449346
EMS 514,SOS 573,0.8447128
ENE 691,CED 791,1.0000002000000001
ENE 691,MET 591,1.0000002000000001
ENE 691,MUD 591,1.0000002000000001
ENE 691,CRJ 691,1.0000001
ENE 691,PSB 591,1.0000001
ENE 691,MKT 591,1.0000001
ENG 298,AST 298,1.0
ENG 298,HCR 298,1.0
ENG 298,PHS 298,1.0
ENG 298,ASM 298,1.0
ENG 298,MTC 298,1.0
ENG 298,SPE 298,1.0
ENG 302,PSY 553,0.87733716
ENG 302,SLC 510,0.8698796
ENG 302,ERM 480,0.85363925
ENG 302,TMC 480,0.85363925
ENG 302,WAC 101,0.8504108
ENG 302,UNI 250,0.84740007
ENG 552,ENG 652,0.90757126
ENG 552,MTC 516,0.82481396
ENG 552,MUP 451,0.81338066
ENG 552,ARS 102,0.7910228
ENG 552,PHI 587,0.78862226
ENG 552,MUP 448,0.78304005
ENG 591,CED 791,1.0000002000000001
ENG 591,MET 591,1.0000002000000001
ENG 591,MUD 591,1.0000002000000001
ENG 591,EEE 591,1.0000001
ENG 591,GPH 691,1.0000001
ENG 591,MSE 591,1.0000001
ENG 652,MTC 520,0.793058
ENG 652,MUP 451,0.79304695
ENG 652,ARS 501,0.78575116
ENG 652,MUP 548,0.7843687
ENG 652,MUP 448,0.7843687
ENG 652,MUP 117,0.78253764
EPD 598,APM 598,1.0000001
EPD 598,SST 598,1.0000001
EPD 598,LSC 598,1.0000001
EPD 598,HPS 598,1.0000001
EPD 598,ARS 598,1.0000001
EPD 598,ANB 598,1.0000001
ERM 599,MET 599,1.0
ERM 599,POS 599,1.0
ERM 599,NTR 599,1.0
ERM 599,PUB 599,1.0
ERM 599,MCE 599,1.0
ERM 599,PPE 599,1.0
ESS 540,STP 581,0.90663505
ESS 540,MCO 536,0.8918616
ESS 540,LSE 542,0.8692093000000001
ESS 540,STP 505,0.8691081
ESS 540,CAP 400,0.85041213
ESS 540,STP 485,0.84557015
ESS 799,TSS 799,1.0
ESS 799,ELS 799,1.0
ESS 799,HPS 799,1.0
ESS 799,ARS 799,1.0
ESS 799,CDE 799,1.0
ESS 799,MCO 799,1.0
EXW 344,EXW 635,0.89832056
EXW 344,ALD 535,0.89832056
EXW 344,EXW 565,0.8944808000000001
EXW 344,KIN 444,0.86246157
EXW 344,ASM 611,0.83615077
EXW 344,NTR 524,0.8327700000000001
EXW 538,NTR 553,0.8741698
EXW 538,NTR 524,0.8506843000000001
EXW 538,NTR 537,0.8409334
EXW 538,NTR 510,0.83532095
EXW 538,NTR 355,0.83453315
EXW 538,NTR 550,0.8181998
EXW 590,FRE 590,0.99999976
EXW 590,SWG 790,0.99999976
EXW 590,EDA 590,0.99999976
EXW 590,MCO 790,0.99999976
EXW 590,APM 790,0.99999976
EXW 590,MCB 790,0.99999976
FAS 370,AFR 370,0.99999994
FAS 370,SOC 415,0.86953026
FAS 370,SWU 474,0.84054047
FAS 370,ENG 243,0.8348119
FAS 370,FAS 531,0.83197373
FAS 370,OGL 350,0.8123129
FAS 421,ALD 431,1.0
